,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
67,5,2016,6500,0,24740,0,20.0,60.1,1.0
68,5,2014,5500,0,20127,0,20.0,60.1,1.0
69,13,2018,15299,2,34103,2,145.0,33.6,2.5
70,8,2016,9000,0,21152,2,30.0,64.2,1.6
71,5,2017,7600,0,15618,0,145.0,60.1,1.0
74,14,2019,19800,2,1963,0,135.0,78.5,1.6
78,12,2017,12000,0,2236,0,160.0,44.8,1.6
79,10,2018,9299,0,21859,0,145.0,56.5,1.0
80,12,2016,11599,0,31480,2,30.0,61.7,1.7
81,5,2017,7000,0,31696,0,145.0,57.7,1.2
85,6,2014,9800,0,35541,2,145.0,53.3,1.7
86,5,2015,6800,0,22211,0,20.0,60.1,1.0
87,10,2018,11531,2,35097,0,145.0,51.4,1.4
88,9,2016,11400,2,27712,2,125.0,56.5,1.7
89,8,2016,7194,0,27696,0,125.0,50.4,1.4
90,5,2015,6500,0,12731,0,30.0,57.6,1.2
91,12,2018,12556,0,20443,0,145.0,44.8,1.6
92,5,2014,5644,0,40248,0,20.0,60.1,1.0
93,5,2017,7799,0,21321,0,145.0,57.7,1.2
94,6,2011,6936,0,72436,2,200.0,47.9,2.0
95,5,2018,9499,2,8418,0,145.0,47.9,1.2
96,6,2012,5000,0,119050,2,150.0,48.7,1.7
97,10,2018,9000,0,15804,0,145.0,57.7,1.0
98,13,2017,13499,2,44749,2,145.0,33.6,2.5
99,5,2016,6000,0,23176,0,30.0,57.6,1.2
100,5,2018,8495,2,28889,0,145.0,47.9,1.2
101,7,2019,11995,0,3300,0,145.0,46.3,1.2
102,5,2018,6350,0,31738,0,145.0,60.1,1.0
103,7,2019,11795,0,5409,0,150.0,46.3,1.2
104,12,2016,13300,0,25071,2,30.0,61.7,1.7
105,12,2018,13950,0,17427,0,150.0,44.8,1.6
106,12,2019,15600,0,8000,0,150.0,34.9,1.6
107,12,2016,12795,0,26804,2,30.0,61.7,1.7
109,4,2012,6300,0,60200,0,165.0,43.5,1.6
110,15,2014,15500,2,37006,2,265.0,41.5,2.2
111,12,2019,15400,0,12254,0,150.0,34.9,1.6
112,10,2016,8900,0,17350,0,145.0,48.7,1.4
113,12,2017,14100,3,27299,2,145.0,57.6,1.7
114,12,2017,13100,0,21119,2,30.0,61.7,1.7
115,12,2017,12600,0,36750,2,30.0,61.7,1.7
116,12,2016,12950,0,37350,2,125.0,58.9,2.0
117,12,2018,13300,0,29413,0,150.0,44.8,1.6
118,12,2017,12700,0,33808,2,30.0,61.7,1.7
124,7,2019,12000,0,7061,0,145.0,46.3,1.2
126,7,2017,7999,0,44120,0,150.0,62.8,1.0
127,6,2011,7799,2,48528,2,300.0,39.2,2.0
128,12,2016,14999,2,20645,2,205.0,47.1,2.0
129,15,2017,18999,2,20599,2,150.0,42.8,2.2
130,5,2012,3799,0,56582,0,20.0,61.4,1.2
132,12,2016,12995,0,37688,2,30.0,61.7,1.7
133,12,2016,16498,2,12163,2,200.0,46.3,2.0
134,10,2015,8998,0,16412,0,145.0,48.7,1.4
135,11,2019,14298,0,6874,0,145.0,44.1,1.0
136,6,2013,7298,0,50998,2,145.0,48.7,1.7
137,5,2016,5998,0,41883,0,30.0,57.6,1.2
138,10,2018,11998,0,5404,2,145.0,74.3,1.6
139,13,2018,15998,0,36815,2,145.0,28.0,2.5
140,5,2014,5498,0,13840,0,20.0,60.1,1.0
142,8,2015,6498,0,57819,0,125.0,50.4,1.4
143,11,2019,15498,0,5630,0,145.0,44.1,1.0
144,7,2017,8498,0,19685,0,145.0,58.9,1.2
145,12,2017,13698,0,17539,2,30.0,61.7,1.7
146,5,2017,6998,0,39968,0,145.0,57.7,1.2
147,12,2017,13998,0,21679,2,30.0,61.7,1.7
148,12,2017,14498,0,9146,2,150.0,61.7,1.7
149,13,2019,19998,2,1477,2,145.0,31.7,2.5
150,11,2018,12498,0,12834,0,145.0,52.3,1.0
151,9,2017,8998,0,59626,2,150.0,67.3,1.7
152,8,2016,8298,0,28355,0,125.0,50.4,1.4
153,11,2018,15995,0,23400,0,145.0,52.3,1.0
154,6,2015,9495,0,46000,2,145.0,53.3,1.7
155,10,2018,8998,0,24070,0,145.0,57.7,1.0
156,10,2019,14998,0,3010,0,145.0,41.5,1.4
157,10,2019,14998,0,3303,0,145.0,41.5,1.4
158,11,2019,21998,2,1391,3,135.0,52.3,1.6
159,7,2017,8998,0,16900,0,145.0,55.4,1.2
160,9,2016,10998,0,29347,2,30.0,65.7,1.7
161,7,2016,9498,0,17206,0,30.0,58.9,1.0
162,5,2015,5998,0,8116,0,20.0,60.1,1.0
163,8,2015,7998,0,20077,0,125.0,50.4,1.4
164,7,2017,7998,0,28502,0,145.0,55.4,1.2
165,7,2015,7398,0,23656,0,30.0,55.4,1.2
166,7,2015,6698,0,43795,0,125.0,51.4,1.4
167,7,2017,8598,0,9392,0,30.0,58.9,1.2
168,10,2019,23498,0,1437,0,145.0,34.0,2.0
169,11,2019,14998,0,2383,0,145.0,44.1,1.0
170,15,2019,34998,3,4133,2,145.0,39.2,2.2
171,15,2019,34998,3,4956,2,145.0,39.2,2.2
172,12,2019,15998,0,3454,0,145.0,35.3,1.6
173,10,2019,14998,0,3001,0,145.0,41.5,1.4
174,12,2019,15498,0,14877,0,150.0,34.9,1.6
175,12,2019,18998,3,3649,0,150.0,36.2,1.6
176,12,2017,14498,0,12811,2,150.0,61.7,1.7
177,12,2017,15298,3,19066,2,150.0,57.6,1.7
178,12,2017,15998,3,11231,2,150.0,57.6,1.7
179,5,2017,6498,0,23692,0,20.0,60.1,1.0
180,15,2017,15998,0,48034,2,205.0,47.1,2.2
181,12,2016,12498,0,41953,2,30.0,61.7,1.7
182,8,2014,5998,0,42386,2,30.0,64.2,1.6
183,12,2018,16500,0,12875,0,145.0,38.7,1.6
184,15,2015,16998,3,38514,2,265.0,42.2,2.2
185,12,2016,10998,0,20258,0,160.0,44.8,1.6
186,12,2017,15998,3,12150,2,145.0,57.6,1.7
187,12,2016,18698,2,14884,2,235.0,43.5,2.0
188,12,2017,11498,0,35213,2,145.0,61.7,1.7
189,12,2018,14998,0,7482,0,145.0,44.8,1.6
190,12,2019,15498,0,12077,0,145.0,34.9,1.6
191,12,2017,13498,0,5863,0,160.0,44.8,1.6
192,7,2018,9985,2,20796,0,145.0,45.6,1.4
193,5,2017,7498,0,8788,0,145.0,60.1,1.0
194,12,2019,15998,0,17841,0,150.0,34.9,1.6
195,10,2015,8798,0,21701,0,150.0,48.7,1.4
196,12,2019,15498,0,15751,0,150.0,34.9,1.6
197,7,2016,8298,0,17499,0,30.0,55.4,1.2
198,11,2019,14998,0,6717,0,150.0,44.1,1.0
199,14,2019,20998,2,5530,3,140.0,62.8,1.6
200,11,2019,20998,2,4672,3,140.0,52.3,1.6
201,10,2017,10485,0,17609,2,145.0,72.4,1.6
202,15,2018,21985,0,13436,2,145.0,47.1,2.2
203,5,2020,14485,0,100,0,145.0,51.4,1.2
204,7,2020,14485,0,100,0,145.0,46.3,1.2
205,12,2016,11485,0,53963,2,30.0,61.7,1.7
206,7,2016,7489,0,51552,0,30.0,56.5,1.2
207,15,2017,19429,3,38452,2,150.0,42.8,2.2
208,5,2017,6995,0,20200,0,145.0,60.1,1.0
209,5,2019,9985,0,5223,0,150.0,57.6,1.2
210,14,2019,22998,2,2844,3,140.0,78.5,1.6
211,12,2016,13298,0,35251,2,30.0,61.7,1.7
212,13,2019,19998,0,7761,2,145.0,31.7,2.5
213,9,2015,9298,0,34572,2,30.0,65.7,1.7
214,12,2017,14985,0,42858,2,205.0,47.9,2.0
215,12,2018,13985,0,15563,2,150.0,61.7,1.7
216,9,2017,11485,0,17393,2,145.0,65.7,1.7
217,10,2017,10785,0,19273,2,145.0,74.3,1.6
218,10,2017,10485,0,15359,2,145.0,72.4,1.6
219,7,2019,9485,0,10758,0,145.0,46.3,1.2
220,7,2019,10485,0,13484,0,145.0,46.3,1.2
221,10,2017,8985,0,18266,2,145.0,72.4,1.6
222,12,2016,14798,3,23865,2,125.0,57.6,1.7
